Isolate,Lineage,Contig,methylation,methylation_percent
Gd708,2,contig_1250,h,"6,3"
Gd708,2,contig_1250,m,"40,9"
Gd708,2,contig_1256,h,"5,7"
Gd708,2,contig_1256,m,"26,3"
Gd708,2,contig_1280,h,"5,7"
Gd708,2,contig_1280,m,"22,9"
Gd708,2,contig_1290,h,"6,8"
Gd708,2,contig_1290,m,"40,7"
Gd708,2,contig_1305,h,"5,8"
Gd708,2,contig_1305,m,"48,7"
Gd708,2,contig_1320,h,"6,1"
Gd708,2,contig_1320,m,"47,2"
Gd708,2,contig_1337,h,"4,8"
Gd708,2,contig_1337,m,"25,8"
Gd708,2,contig_1346,h,"5,5"
Gd708,2,contig_1346,m,"27,5"
Gd708,2,contig_1355,h,5
Gd708,2,contig_1355,m,"6,8"
Gd708,2,contig_1368,h,"5,4"
Gd708,2,contig_1368,m,"34,4"
Gd708,2,contig_1370,h,"5,6"
Gd708,2,contig_1370,m,"9,9"
Gd708,2,contig_1376,h,6
Gd708,2,contig_1376,m,"15,8"
Gd708,2,contig_1420,h,"5,2"
Gd708,2,contig_1420,m,"16,6"
Gd708,2,contig_157,h,"6,4"
Gd708,2,contig_157,m,"40,3"
Gd708,2,contig_173,h,"5,3"
Gd708,2,contig_173,m,"25,2"
Gd708,2,contig_203,h,"5,4"
Gd708,2,contig_203,m,"23,1"
Gd708,2,contig_230,h,"5,5"
Gd708,2,contig_230,m,"23,4"
Gd708,2,contig_254,h,"5,3"
Gd708,2,contig_254,m,"18,3"
Gd708,2,contig_271,h,"5,6"
Gd708,2,contig_271,m,"24,5"
